ID,NAME,VALUES IN ORDER,
25A,Locus of Marking: Whole-language Typology,"Head-marking,Dependent-marking,Double-marking,Zero-marking,Inconsistent or other",
25B,Zero Marking of A and P Arguments,"Zero-marking,Non-zero marking",
33A,Coding of Nominal Plurality,"Plural prefix,Plural suffix,Plural stem change,Plural tone,Plural complete reduplication,Mixed morphological plural,Plural word,Plural clitic,No plural",
27A,Reduplication,"Productive full and partial reduplication,Full reduplication only,No productive reduplication",
28A,Case Syncretism,"No case marking,Core cases only,Core and non-core,No syncretism",
29A,Syncretism in Verbal Person/Number Marking,"No subject person/number marking,Syncretic,Not syncretic",
30A,Number of Genders,"None,Two,Three,Four,Five or more",
31A,Sex-based and Non-sex-based Gender Systems,"No gender,Sex-based,Non-sex-based",
32A,Systems of Gender Assignment,"No gender,Semantic,Semantic and formal",
52A,Comitatives and Instrumentals,"Identity,Differentiation,Mixed",
34A,Occurrence of Nominal Plurality,"No nominal plural,Only human nouns optional,Only human nouns obligatory,All nouns always optional,All nouns optional in inanimates,All nouns always obligatory",
35A,Plurality in Independent Personal Pronouns,"No independent subject pronouns,Number-indifferent pronouns,Person-number affixes,Person-number stem,Person-number stem + pronominal plural affix,Person-number stem + nominal plural affix,Person stem + pronominal plural affix,Person stem + nominal plural affix",
36A,The Associative Plural,"Associative same as additive plural,Unique affixal associative plural,Unique periphrastic associative plural,No associative plural",
37A,Definite Articles,"Definite word distinct from demonstrative,Demonstrative word used as definite article,Definite affix,No definite but indefinite article,No definite or indefinite article",
38A,Indefinite Articles,"Indefinite word distinct from 'one',Indefinite word same as 'one',Indefinite affix,No indefinite but definite article,No definite or indefinite article",
39A,Inclusive/Exclusive Distinction in Independent Pronouns,"No 'we','We' the same as 'I',No inclusive/exclusive,Only inclusive,Inclusive/exclusive",
39B,Inclusive/Exclusive Forms in Pama-Nyungan,"No inclusive/exclusive opposition,Inclusive and exclusive differentiated",
40A,Inclusive/Exclusive Distinction in Verbal Inflection,"No person marking,'We' the same as 'I',No inclusive/exclusive,Only inclusive,Inclusive/exclusive",
41A,Distance Contrasts in Demonstratives,"No distance contrast,Two-way contrast,Three-way contrast,Four-way contrast,Five (or more)-way contrast",
42A,Pronominal and Adnominal Demonstratives,"Identical,Different stem,Different inflection",
43A,Third Person Pronouns and Demonstratives,"Unrelated,Related for all demonstratives,Related to remote demonstratives,Related to non-remote demonstratives,Related by gender markers,Related for non-human reference",
44A,Gender Distinctions in Independent Personal Pronouns,"In 3rd person + 1st and/or 2nd person,3rd person only but also non-singular,3rd person singular only,1st or 2nd person but not 3rd,3rd person non-singular only,No gender distinctions",
75A,Epistemic Possibility,"Verbal constructions,Affixes on verbs,Other",
46A,Indefinite Pronouns,"Interrogative-based,Generic-noun-based,Special,Mixed,Existential construction",
101A,Expression of Pronominal Subjects,"Obligatory pronouns in subject position,Subject affixes on verb,Subject clitics on variable host,Subject pronouns in different position,Optional pronouns in subject position,Mixed",
48A,Person Marking on Adpositions,"No adpositions,No person marking,Pronouns only,Pronouns and nouns",
49A,Number of Cases,"No morphological case-marking,2 cases,3 cases,4 cases,5 cases,6-7 cases,8-9 cases,10 or more cases,Exclusively borderline case-marking",
50A,Asymmetrical Case-Marking,"No case-marking,Symmetrical,Additive-quantitatively asymmetrical,Subtractive-quantitatively asymmetrical,Qualitatively asymmetrical,Syncretism in relevant NP-types",
130A,Finger and Hand,"Identical,Different",
129A,Hand and Arm,"Identical,Different",
72A,Imperative-Hortative Systems,"Maximal system,Minimal system,Both types of system,Neither type of system",
54A,Distributive Numerals,"No distributive numerals,Marked by reduplication,Marked by prefix,Marked by suffix,Marked by preceding word,Marked by following word,Marked by mixed or other strategies",
55A,Numeral Classifiers,"Absent,Optional,Obligatory",
56A,Conjunctions and Universal Quantifiers,"Formally different,Formally similar without interrogative,Formally similar with interrogative",
57A,Position of Pronominal Possessive Affixes,"Possessive prefixes,Possessive suffixes,Prefixes and suffixes,No possessive affixes",
58A,Obligatory Possessive Inflection,"Exists,Absent",
58B,Number of Possessive Nouns,"None reported,One,Two to four,Five or more",
59A,Possessive Classification,"No possessive classification,Two classes,Three to five classes,More than five classes",
60A,Genitives Adjectives and Relative Clauses,"Weakly differentiated,Genitives and adjectives collapsed,Genitives and relative clauses collapsed,Adjectives and relative clauses collapsed,Moderately differentiated in other ways,Highly differentiated",
61A,Adjectives without Nouns,"Not without noun,Without marking,Marked by prefix,Marked by suffix,Marked by preceding word,Marked by following word,Marked by mixed or other strategies",
62A,Action Nominal Constructions,"Sentential,Possessive-Accusative,Ergative-Possessive,Double-Possessive,Other,Mixed,Restricted,No action nominals",
63A,Noun Phrase Conjunction,"'And' different from 'with','And' identical to 'with'",
64A,Nominal and Verbal Conjunction,"Identity,Differentiation,Both expressed by juxtaposition",
65A,Perfective/Imperfective Aspect,"Grammatical marking,No grammatical marking",
66A,The Past Tense,"Present no remoteness distinctions,Present 2-3 remoteness distinctions,Present 4 or more remoteness distinctions,No past tense",
67A,The Future Tense,"Inflectional future exists,No inflectional future",
68A,The Perfect,"From possessive,From 'finish' 'already',Other perfect,No perfect",
47A,Intensifiers and Reflexive Pronouns,"Identical,Differentiated",
143G,Minor morphological means of signaling negation,"NegTone,NegInfix,NegStemChange,None",
112A,Negative Morphemes,"Negative affix,Negative particle,Negative auxiliary verb,Negative word unclear if verb or particle,Variation between negative word and affix,Double negation",
87A,Order of Adjective and Noun,"Adjective-Noun,Noun-Adjective,No dominant order,Only internally-headed relative clauses",
73A,The Optative,"Inflectional optative present,Inflectional optative absent",
85A,Order of Adposition and Noun Phrase,"Prepositions,Postpositions,Inpositions,No dominant order,No adpositions",
94A,Order of Adverbial Subordinator and Clause,"Initial subordinator word,Final subordinator word,Internal subordinator word,Subordinating suffix,Mixed",
91A,Order of Degree Word and Adjective,"Degree word-Adjective,Adjective-Degree word,No dominant order",
77A,Semantic Distinctions of Evidentiality,"No grammatical evidentials,Indirect only,Direct and indirect",
78A,Coding of Evidentiality,"No grammatical evidentials,Verbal affix or clitic,Part of the tense system,Separate particle,Modal morpheme,Mixed",
79A,Suppletion According to Tense and Aspect,"Tense,Aspect,Tense and aspect,None",
79B,Suppletion in Imperatives and Hortatives,"A regular and a suppletive form alternate,Imperative,Hortative,Imperative and Hortative,None (= no suppletive imperatives reported in the reference material)",
80A,Verbal Number and Suppletion,"None,Singular-plural pairs no suppletion,Singular-plural pairs suppletion,Singular-dual-plural triples no suppletion,Singular-dual-plural triples suppletion",
88A,Order of Demonstrative and Noun,"Demonstrative-Noun,Noun-Demonstrative,Demonstrative prefix,Demonstrative suffix,Demonstrative before and after Noun,Mixed",
81B,Languages with two Dominant Orders of Subject Object and Verb,"SOV or SVO,VSO or VOS,SVO or VSO,SVO or VOS,SOV or OVS",
86A,Order of Genitive and Noun,"Genitive-Noun,Noun-Genitive,No dominant order",
143A,Order of Negative Morpheme and Verb,"NegV,VNeg,[Neg-V],[V-Neg],Negative Tone,Type 1 / Type 2,Type 1 / Type 3,Type 1 / Type 4,Type 2 / Type 3,Type 2 / Type 4,Type 3 / Type 4,Type 3 / Negative Infix,OptSingleNeg,ObligDoubleNeg,OptDoubleNeg,OptTripleNeg&ObligDoubleNeg,OptTripleNeg&OptDoubleNeg",
84A,Order of Object Oblique and Verb,"VOX,XVO,XOV,OXV,OVX,No dominant order",
89A,Order of Numeral and Noun,"Numeral-Noun,Noun-Numeral,No dominant order,Numeral only modifies verb",
83A,Order of Object and Verb,"OV,VO,No dominant order",
90A,Order of Relative Clause and Noun,"Noun-Relative clause,Relative clause-Noun,Internally headed,Correlative,Adjoined,Doubly headed,Mixed",
82A,Order of Subject and Verb,"SV,VS,No dominant order",
81A,Order of Subject Object and Verb,"SOV,SVO,VSO,VOS,OVS,OSV,No dominant order",
53A,Ordinal Numerals,"None,One two three,First two three,One-th two-th three-th,First/one-th two-th three-th,First two-th three-th,First second three-th,Various",
90B,Prenominal relative clauses,"Relative clause-Noun (RelN) dominant,RelN or NRel,RelN or internally-headed,RelN or correlative,RelN or double-headed",
90C,Postnominal relative clauses,"Noun-Relative clause (NRel) dominant,NRel or RelN,NRel or internally-headed,NRel or correlative",
90D,Internally-headed relative clauses,"Internally-headed relative clause dominant,Internally-headed or RelN,Internally-headed or NRel,Internally-headed or correlative,Internally-headed or double-headed,Internally-headed occurs as nondominant type,Internally-headed exists",
90E,Correlative relative clauses,"Correlative relative clause dominant,Correlative or RelN,Correlative or NRel,Correlative or internally-headed,Correlative or adjoined,Correlative as nondominant type,Correlative exists",
90F,Adjoined relative clauses,"Adjoined relative clause dominant,Adjoined or correlative",
90G,Double-headed relative clauses,"Double-headed dominant,Double-headed or RelN,Double-headed or internally-headed,Double-headed as nondominant type",
76A,Overlap between Situational and Epistemic Modal Marking,"Overlap for both possibility and necessity,Overlap for either possibility or necessity,No overlap",
116A,Polar Questions,"Question particle,Interrogative verb morphology,Mixture of previous two types,Interrogative word order,Absence of declarative morphemes,Interrogative intonation only,No interrogative-declarative distinction",
45A,Politeness Distinctions in Pronouns,"No politeness distinction,Binary politeness distinction,Multiple politeness distinctions,Pronouns avoided for politeness",
51A,Position of Case Affixes,"Case suffixes,Case prefixes,Case tone,Case stem change,Mixed morphological case,Postpositional clitics,Prepositional clitics,Inpositional clitics,No case affixes or adpositional clitics",
93A,Position of Interrogative Phrases in Content Questions,"Initial interrogative phrase,Not initial interrogative phrase,Mixed",
92A,Position of Polar Question Particles,"Initial,Final,Second position,Other position,In either of two positions,No question particle",
69A,Position of Tense-Aspect Affixes,"Tense-aspect prefixes,Tense-aspect suffixes,Tense-aspect tone,Mixed type,No tense-aspect inflection",
98A,Alignment of Case Marking of Full Noun Phrases,"Neutral,Nominative - accusative (standard),Nominative - accusative (marked nominative),Ergative - absolutive,Tripartite,Active-inactive",
99A,Alignment of Case Marking of Pronouns,"Neutral,Nominative - accusative (standard),Nominative - accusative (marked nominative),Ergative - absolutive,Tripartite,Active - inactive,None",
100A,Alignment of Verbal Person Marking,"Neutral,Accusative,Ergative,Active,Hierarchical,Split",
143F,Postverbal Negative Morphemes,"VNeg,[V-Neg],VNeg&[V-Neg],None",
102A,Verbal Person Marking,"No person marking,Only the A argument,Only the P argument,A or P argument,Both the A and P arguments",
103A,Third Person Zero of Verbal Person Marking,"No person marking,No zero realization,Zero in some 3sg forms,Zero in all 3sg forms,Zero in all 3rd person forms,Zero only in 3rd nonsingular",
104A,Order of Person Markers on the Verb,"A and P do not or do not both occur on the verb,A precedes P,P precedes A,Both orders of A and P occur,A and P are fused",
105A,Ditransitive Constructions: The Verb 'Give',"Indirect-object construction,Double-object construction,Secondary-object construction,Mixed",
106A,Reciprocal Constructions,"No reciprocals,Distinct from reflexive,Mixed,Identical to reflexive",
107A,Passive Constructions,"Present,Absent",
108A,Antipassive Constructions,"Implicit patient,Oblique patient,No antipassive",
108B,Productivity of the Antipassive Construction,"productive,partially productive,not productive,no antipassive",
109A,Applicative Constructions,"Benefactive object; both bases,Benefactive object; only transitive,Benefactive and other; both bases,Benefactive and other; only transitive,Non-benefactive object; both bases,Non-benefactive object; only transitive,Non-benefactive object; only intransitive,No applicative construction",
109B,Other Roles of Applied Objects,"Instrument,Locative,Instrument and locative,No other roles (= Only benefactive),No applicative construction",
110A,Periphrastic Causative Constructions,"Sequential but no purposive,Purposive but no sequential,Both",
111A,Nonperiphrastic Causative Constructions,"Neither,Morphological but no compound,Compound but no morphological,Both",
26A,Prefixing vs. Suffixing in Inflectional Morphology,"Little affixation,Strongly suffixing,Weakly suffixing,Equal prefixing and suffixing,Weakly prefixing,Strong prefixing",Position of Negative Word With Respect to Subject Object and Verb
113A,Symmetric and Asymmetric Standard Negation,"Symmetric,Asymmetric,Both",
114A,Subtypes of Asymmetric Standard Negation,"A/Fin,A/NonReal,A/Cat,A/Fin and A/NonReal,A/Fin and A/Cat,A/NonReal and A/Cat,Non-assignable",
115A,Negative Indefinite Pronouns and Predicate Negation,"Predicate negation also present,No predicate negation,Mixed behaviour,Negative existential construction",
143E,Preverbal Negative Morphemes,"NegV,[Neg-V],NegV&[Neg-V],None",
117A,Predicative Possession,"Locational,Genitive,Topic,Conjunctional,'Have'",
118A,Predicative Adjectives,"Verbal encoding,Nonverbal encoding,Mixed",
119A,Nominal and Locational Predication,"Different,Identical",
120A,Zero Copula for Predicate Nominals,"Impossible,Possible",
121A,Comparative Constructions,"Locational,Exceed,Conjoined,Particle",
122A,Relativization on Subjects,"Relative pronoun,Non-reduction,Pronoun-retention,Gap",
123A,Relativization on Obliques,"Relative pronoun,Non-reduction,Pronoun-retention,Gap,Not possible",
124A,'Want' Complement Subjects,"Subject is left implicit,Subject is expressed overtly,Both construction types exist,Desiderative verbal affix,Desiderative particle",
125A,Purpose Clauses,"Balanced,Balanced/deranked,Deranked",
126A,'When' Clauses,"Balanced,Balanced/deranked,Deranked",
127A,Reason Clauses,"Balanced,Balanced/deranked,Deranked",
128A,Utterance Complement Clauses,"Balanced,Balanced/deranked,Deranked",
97A,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,"OV and AdjN,OV and NAdj,VO and AdjN,VO and NAdj,Other",
95A,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,"OV and Postpositions,OV and Prepositions,VO and Postpositions,VO and Prepositions,Other",
130B,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',"Hunter-gatherers,Farmer-foragers,Full-fledged farmers",
131A,Numeral Bases,"Decimal,Hybrid vigesimal-decimal,Pure vigesimal,Other base,Extended body-part system,Restricted",
132A,Number of Non-Derived Basic Colour Categories,"3,3.5,4,4.5,5,5.5,6",
133A,Number of Basic Colour Categories,"3-4,4.5-5.5,6-6.5,7-7.5,8-8.5,9-10,11",
134A,Green and Blue,"Green vs. blue,Green/blue,Black/green/blue,Black/blue vs. green,Yellow/green/blue,Yellow/green vs. blue,None",
135A,Red and Yellow,"Red vs. yellow,Red/yellow,Yellow/green/blue vs. red,Yellow/green vs. red,None",
136A,M-T Pronouns,"No M-T pronouns,M-T pronouns paradigmatic,M-T pronouns non-paradigmatic",
136B,M in First Person Singular,"No m in first person singular,m in first person singular",
137A,N-M Pronouns,"No N-M pronouns,N-M pronouns paradigmatic,N-M pronouns non-paradigmatic",
137B,M in Second Person Singular,"No m in second person singular,m in second person singular",
96A,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,"OV and RelN,OV and NRel,VO and RelN,VO and NRel,Other",
139A,Irregular Negatives in Sign Languages,"None,One,Some (2-5),Many (more than 5)",
140A,Question Particles in Sign Languages,"None,One,More than one",
141A,Writing Systems,"Alphabetic,Consonantal,Alphasyllabic,Syllabic,Logographic,Mixed logographic–syllabic",
142A,Para-Linguistic Usages of Clicks,"Logical meanings,Affective meanings,Other or none",
74A,Situational Possibility,"Affixes on verbs,Verbal constructions,Other kinds of markers",
143B,Obligatory Double Negation,"NegVNeg,Neg[V-Neg],[Neg-V]Neg,[Neg-V-Neg],Negative tone & VNeg,Negative tone & [Neg-V],NegNegV,Neg[Neg-V],VNegNeg,Type 1 / Type 2,Type 1 / Type 3,Type 1 / Type 5,Type 1 / Type 7,Type 1 / Type 9,Type 2 / Type 4,ObligDoubleNeg&OptTripleNeg",
143C,Optional Double Negation,"NegV(Neg),(Neg)VNeg,Neg[V(-Neg)],(Neg)[V-Neg],[Neg-V](Neg),[(Neg-)V]Neg,[Neg-V(-Neg)],[(Neg-)V-Neg],V(Neg)Neg,[V-Neg](Neg),Neg(Neg)V,Neg[(Neg-)]V,NegV&OptChangeVerbStem,NegV/[Neg-V-Neg],VNeg/[Neg-V-Neg],[Neg-V]/NegVNeg,NegV or NegativeTone&VNeg,NegV/[V-Neg]/Neg[V-Neg],NegV/VNeg/NegVNeg,NegV/[V-Neg]/[Neg-V-Neg],[Neg-V]/VNeg/[Neg-V-Neg],NegV/[Neg-V]/Neg[Neg-V],OptDoubleNeg&OptTripleNeg",
143D,Optional Triple Negation,"(Neg)[Neg-V-Neg],[V-Neg]Neg&OptNegInfix or Pref,NegVNeg/NegNegVNeg,Neg[V-Neg]/NegVNeg&NegTone,Neg[V(-Neg)]Neg/[Neg-V(-Neg)]Neg,Neg[V-(Neg)](Neg)",
138A,Tea,"Words derived from Sinitic cha,Words derived from Min Nan Chinese te,Others",
70A,The Morphological Imperative,"Second singular and second plural,Second singular,Second plural,Second person number-neutral,No second-person imperatives",
71A,The Prohibitive,"Normal imperative + normal negative,Normal imperative + special negative,Special imperative + normal negative,Special imperative + special negative",
144A,Position of Negative Word With Respect to Subject Object and Verb,"NegSVO,SNegVO,SVNegO,SVONeg,NegSOV,SNegOV,SONegV,SOVNeg,NegVSO,VSNegO,VSONeg,NegVOS,ONegVS,OVNegS,OSVNeg,More than one position,OptSingleNeg,ObligDoubleNeg,OptDoubleNeg,MorphNeg,Other",
144B,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,"Beginning not immed preverbal,Preverbal not beginning or immed,Immed preverbal,Immed postverbal,Postverbal not immed or end,End not immed postverbal",
144C,Languages with different word order in negative clauses,"VSO but NegSVO,SVO but SNegOV,SVO but SONegV,SVO but SOVNeg,SVO but NegVSO,SVO but SO[V-Neg],SVO but SO[Neg-V],OSV but NegSVO/O[Neg-V]S,SVO but NegSNegOV,SVO but SONeg[V-Neg]/SO[Neg-V-Neg],SOV but SONeg[V-Neg]/S[Neg-V-Neg] O,SVO/VSO but NegSVONeg,SVO/VSO but [Neg-V]SO(Neg),SVO/SOV but SVONeg,SVO/SOV but SNegVO,SVO/SOV but SNegOV,SVO/SOV but SOVNeg",
144D,The Position of Negative Morphemes in SVO Languages,"NegSVO,SNegVO,SVNegO,SVONeg,S[Neg-V]O,S[V-Neg]O,SVO&Tone,VSO but NegSVO,SVO/SOV but SVONeg,SOV/SOV but SNegVO,Other NegV,Other VNeg,More than one construction,ObligNeg,OptNeg",
144E,Multiple Negative Constructions in SVO Languages,"SNegVO/SVNegO,NegSVO/SNegVO,NegSVO/SVNegO,SNegVO/SVONeg,SVNegO/SVONeg,SVO & Flexible Neg,SNegVO/S[V-Neg]O,S[Neg-V]O/SVNegO,NegSVO/SNegVO/S[V-Neg]O,SNegVO/NegVSO,SVONeg/VSONeg,NegSVO/NegVOS,SNegVO/NegVOS,S[Neg-V]O/[Neg-V]OS,SVONeg/SONegV,SVNegO/SOVNeg,SVONeg/SNegOV/SOVNeg,NegSVO/SVNegO/NegSOV/SNegOV,SNegVO/SONegV/SVONeg/SOVNeg,S[Neg-V]O/SO[Neg-V],S[V-Neg]O/SO[V-Neg],SNegVO/SONegV/S[Neg-V]O/SO[Neg-V],NegSVO/O[Neg-V]S,SVO & NegV/VNeg,SVO & NegV/[V-Neg],SVO/VSO & NegV,SVO/VOS & NegV,SVO/SOV & NegV/VNeg",
144F,Obligatory Double Negation in SVO languages,"SNegVONeg,SNegVNegO,SVNegONeg,SVO/VSO but NegSVONeg,S[Neg-V]ONeg,SNeg[V-Neg]O,S[Neg-V]NegO,NegS[V-Neg]O,S[Neg-V-Neg]O,SVNegO&NegTone,S[Neg-V]O&NegTone,SNegNegVO/SNegVNegO,SNegVNegO/SNegVONeg,SNegVONeg/S[Neg-V]ONeg,(Neg)S(Neg)VONeg,SNeg[V-Neg]O&NegTone/SNegVNegO,S(Neg)[Neg-V-Neg]O,SNeg[V(-Neg)]ONeg/S[Neg-V(-Neg)]ONeg,SNegVONeg/SNegOVNeg,SVONeg&NegTone/SNegOVNeg,SNegVONeg/SVNegONeg/NegVOSNeg/VNegOSNeg,SVO & NegVNeg,S[Neg-V]O & NegV",
144G,Optional Double Negation in SVO languages,"SNegVO(Neg),S(Neg)VONeg,S(Neg)VNegO,SNegV(Neg)O,(Neg)SVONeg,SVNegO(Neg),NegS[V(-Neg)]O,S[(Neg-)V]NegO,S[Neg-V]O(Neg),SNegVO/SVNegO&NegTone,S(Neg)[V(-Neg)]O,S[Neg-V(-Neg)]O,(Neg)SVONeg/S(Neg)VONeg,S[Neg-V]O/NegSVNegO,SNeg[V-Neg]O/S[Neg-V-Neg]O,S[V(-Neg)]O & NegV,SVO/SOV & (Neg)[V-Neg],SVO/VSO & NegV/VNeg/NegVNeg",
144H,NegSVO Order,"NoDoubleNeg,OptDoubleNeg,OnlyWithAnotherNeg,No NegSVO",
144I,SNegVO Order,"Word&NoDoubleNeg,Prefix&NoDoubleNeg,Word&OptDoubleNeg,Prefix&OptDoubleNeg,Word&OnlyWithAnotherNeg,Prefix&OnlyWithAnotherNeg,Type 1 / Type 2,No SNegVO",
144J,SVNegO Order,"Word&NoDoubleNeg,Suffix&NoDoubleNeg,Word&OptDoubleNeg,Suffix&OptDoubleNeg,Word&OnlyWithAnotherNeg,Suffix&OnlyWithAnotherNeg,No SVNegO",
144K,SVONeg Order,"NoDoubleNeg,OptDoubleNeg,OnlyWithAnotherNeg,No SVONeg",
144L,The Position of Negative Morphemes in SOV Languages,"NegSOV,SNegOV,SONegV,SOVNeg,SO[Neg-V],SO[V-Neg],SVO but SNegOV,SVO but SONegV,SVO but SOVNeg,SVO but SO[V-Neg],SVO but SO[Neg-V],SVO/SOV but SNegOV,SVO/SOV but SOVNeg,Other NegV,More than one construction,ObligDoubleNeg,OptDoubleNeg,SV&OV&NegV,SV&OV&VNeg,SV&OV&[Neg-V],SV&OV&[V-Neg],SV&OV&ImmedPreverbal,SV&OV&InitialNeg",
144M,Multiple Negative Constructions in SOV Languages,"SONegV/SOVNeg,SNegOV/SONegV,NegSOV/SNegOV/SONegV,NegSOV/2ndPos,SOVNeg/SO[V-Neg],SO[Neg-V]/SO[V-Neg],SO[Neg-V]/SOVwithNegInfix,SNegOV/SONegV/SO[V-Neg],SONegV/SVONeg,SOVNeg/SVNegO,SNegOV/SOVNeg/SVONeg,NegSOV/SNegOV/NegSVO/SVNegO,SONegV/SOVNeg/SNegVO/SVONeg,SO[Neg-V]/S[Neg-V]O,SO[V-Neg]/S[V-Neg]O/,SONegV/SO[Neg-V]/SNegVO/S[Neg-V]O,NegSOV/NegOVS,SOVNeg/OVNegS,SO[V-Neg]/O[V-Neg]S,SOV & NegV/VNeg (a),SOV & NegV/[Neg-V],SOV & NegV/[V-Neg],SOV & NegV/VNeg (b),SV & OV & NegV/VNeg,SV & OV & NegV/[V-Neg],SV & OV & [Neg-V]/[V-Neg],SV & OV & VNeg/[V-Neg]",
144N,Obligatory Double Negation in SOV languages,"SONegVNeg,SVO but NegSNegOV,NegSO[V-Neg],SONeg[V-Neg],SO[Neg-V]Neg,SO[Neg-V-Neg],SO[Neg-V] with negative tone on verb SO[Neg-V]&NegTone,SONegVNeg/SONeg[V-Neg],SVO but SONeg[V-Neg]/SO[Neg-V-Neg],SNegO[V-Neg]/SONeg[V-Neg],SO[V-Neg]Neg & OptNegPref/Infix,SNegOVNeg/SNegVONeg,SNegOVNeg/SVONeg&NegTone,SOV & NegVNeg,SOV & Neg[V-Neg],SOV & Neg[Neg-V],SV & OV & Neg[V-Neg],SV & OV & [Neg-V-Neg]",
144O,Optional Double Negation in SOV languages,"NegSOV(Neg),S(Neg)OVNeg,SNegOV(Neg),SNegO[V(-Neg)],SO[(Neg-)V]Neg,SO[Neg-V(-Neg)],SO[(Neg-)V-Neg],SO[V-Neg](Neg),SOVNeg/SO[Neg-V-Neg],SNegO[V(-Neg)](Neg),SOV but S[Neg-V-Neg]O/SO[V-Neg],SO[Neg-V-(Neg)]/SOVNeg,(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg,S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)],SOV & (Neg)[V-Neg],SOV & (Neg)[V(-Neg)],SOV/SVO & Neg[V-(Neg)],SV & OV & (Neg)V(Neg),SV & OV & (Neg)[V-Neg],SV & OV & [Neg-V(-Neg)],SV & OV & [(Neg-)V-Neg]",
144P,NegSOV Order,"NoDoubleNeg,OptDoubleNeg,OnlyWithAnotherNeg,No NegSOV",
144Q,SNegOV Order,"NoDoubleNeg,OptDoubleNeg,OnlyWithAnotherNeg,No SNegOV",
144R,SONegV Order,"Word&NoDoubleNeg,Prefix&NoDoubleNeg,Word&OptDoubleNeg,Prefix&OptDoubleNeg,Word&OnlyWithAnotherNeg,Prefix&OnlyWithAnotherNeg,Type 1 / Type 2,No SONegV",
